,begin_quarantine,full_quarantine,time_to_full_quarantine,strength_of_quarantine,length_of_full_quarantine,day_quit_quarantine,increase_rate_from_quit_quarantine,increase_before_drop,quarantine_enforcement
Ottawa,59.94154965168667,63.52651676587567,3.5849671141889914,75.24031233900295,35.7112743582035,99.23779112407917,0.2578692315418599,-9.131428571428572,32.39300208333334
Paris,59.93480329103632,62.40225450177033,2.4674512107340068,96.61721429227511,47.568462388201866,109.9707168899722,1.9945714373900623,11.784285714285701,25.244216296966954
Perth,62.68190854202238,69.39089358218409,6.708985040161716,86.73641923619128,29.704736044942123,99.09562962712621,0.6306946939382648,9.922857142857126,59.47479955555557
Philadelphia,60.16386902970953,64.3493944272181,4.185525397508564,65.904944313496,38.650527840522,102.9999222677401,0.11784194265923277,-2.7342857142857184,29.69132382271469
Phoenix,60.03332440143464,66.26519497416881,6.231870572734169,58.35873504537594,37.73476733107738,103.99996230524619,0.32197310363209475,2.125714285714281,28.824114390065738
Pittsburgh,57.671131745771376,63.12175894731983,5.450627201548456,69.81187446439763,33.265519393379265,96.3872783406991,0.3577032050305289,-7.721428571428561,25.160192837465562
Portland,59.63623211645291,64.50813992234788,4.871907805894972,82.49078657441143,38.491691593939166,102.99983151628705,0.1734415337085485,5.075714285714298,43.263851869806096
Portsmouth,59.960658162166425,66.37496044518387,6.414302283017449,88.83871294335337,41.625039902912405,108.00000034809628,0.5952579850609511,7.768571428571448,37.567194331065764
Providence,60.10910467835215,64.28047181270708,4.17136713435493,81.48320873480199,40.58308193233775,104.86355374504483,0.43327819732411565,12.299999999999997,42.98192193749999
Raleigh,59.906430739674825,65.81219491354831,5.905764173873489,55.97631779731753,29.210984801215588,95.0231797147639,0.37356157223193726,-0.5257142857142725,45.88941066666667
Reading,59.4671908301719,65.67218090607875,6.204990075906846,86.98874671539521,23.32783576956635,89.0000166756451,0.13993092524320908,5.357142857142875,56.34114010416666
Reno-Sparks,60.011369360868116,64.94066518304618,4.929295822178065,58.74265476188201,25.059261398706397,89.99992658175258,0.39710725272798986,-2.1014285714285705,39.75439616
Richmond,56.56512723872061,62.69774130825078,6.1326140695301685,51.316544022848994,34.30226861421419,97.00000992246497,0.40640445661766345,-1.0657142857142787,29.01440163265306
Rio de Janeiro,61.07328205112227,63.86332331835916,2.7900412672368864,88.73165982235777,28.13424136676324,91.9975646851224,-0.028314898247514125,-0.14000000000000057,102.63078201530614
Rochester,5.5,6.5,1.0,70.17999999999999,88.5,95.0,1.0,-59.86571428571428,657.94963047595
Rome,49.49997306202802,55.66621302333654,6.1662399613085235,109.87662482016435,40.802870036923494,96.46908306026003,0.4143800725786996,31.69285714285712,64.78486436644856
Rotterdam,58.7623371618291,61.576013995423246,2.8136768335941498,76.32986471010946,28.42401431454534,90.00002830996858,0.4234804484439517,0.6671428571428493,35.73965255648037
Sacramento,59.703405507747746,64.33919788461334,4.635792376865596,78.19452504257414,26.578820866093707,90.91801875070705,0.21225122815548197,10.842857142857156,66.94684674556214
Saint Petersburg - Clearwater (Florida),62.344851451856584,68.43433717669132,6.089485724834736,60.734572558106805,33.76722390439767,102.20156108108898,0.9708779643057803,0.1871428571428453,38.51690216262976
Salt Lake City,12.5,13.5,1.0,66.795,81.5,95.0,1.0,,1064.3447923854849
San Antonio,60.924886006871624,66.00579525721844,5.080909250346816,58.05179671355523,30.995479912128957,97.0012751693474,0.29395988981959503,0.7242857142856991,28.9553490114464
San Diego,58.911460155973494,64.57019276001189,5.658732604038405,82.37432347794828,25.42980604165261,89.9999988016645,0.25810109480669235,5.094285714285704,55.15244544000001
San Francisco - Bay Area,57.96604196591732,62.56665000959426,4.600608043676936,89.06730328058617,40.43337574718992,103.00002575678418,0.15532224202281852,8.508571428571415,33.442444140392624
Santa Barbara,57.732439270983534,64.32622207056825,6.59378279958472,83.4584030621718,21.874759255182994,86.20098132575124,0.07942580451913668,-12.324285714285708,46.49896115702479
Santa Clarita,60.326020105870015,64.06031134942228,3.7342912435522706,77.50240660723395,38.93987075252018,103.00018210194246,0.2985999370382437,7.294285714285721,60.90899421433265
Santa Rosa,58.97290254348006,64.0958277727711,5.122925229291037,63.287745066081214,28.904059557438984,92.99988733021009,0.1889722004106095,-13.114285714285714,25.365339158163266
Sao Paulo,61.859081406941904,65.16998792400868,3.3109065170667735,87.07688711607767,3.830783996215601,69.00077192022428,0.07221096278020724,9.99428571428571,118.18356875
Sapporo,42.169611286104185,44.13488019173188,1.9652689056276913,30.120754860590942,98.89576907267336,143.03064926440524,-18.344180067239634,13.667142857142863,215.18954266117973
Seattle,54.12962048610137,62.6523238543997,8.522703368298323,74.9393103583519,34.34795283768112,97.00027669208082,0.1554926265113172,-9.688571428571422,33.98655542857143
Sendai,80.35870090044516,86.36074025446327,6.002039354018103,55.071264444723305,26.63925361415889,112.99999386862216,1.7504842581919076,26.33999999999999,45.55708402366864
Seville,59.677159438397005,61.23832453194438,1.5611650935473782,132.39037473468295,34.52362649112451,95.76195102306889,0.4733596059113305,73.94142857142856,71.86342361591699
Sheffield,61.55268467885627,66.59522060304353,5.0425359241872645,91.34998376963298,-10.101253764999754,56.493966838043775,0.0068482336163411955,9.791428571428568,0.0
Shizuoka,81.66751649064534,87.4184479580808,5.750931467435456,53.89145589506209,-1.9630383524130792,85.45540960566773,-0.013217916263655004,33.53571428571428,0.0
Spokane,23.41398074421112,68.1221951041158,44.70821435990468,49.271471966853774,-9.558067534953807e-05,68.12209952344045,0.2807737624832156,-25.450000000000017,0.0
Springfield,60.36329526832297,65.5226010776343,5.159305809311339,69.17349682728259,35.99497292032815,101.51757399796246,0.6139827161039044,6.811428571428564,67.07887986111113
St. Louis,60.54366637087247,65.30047648653134,4.756810115658866,44.34891974248636,29.699480596664856,94.9999570831962,0.15520485062249725,1.2457142857142713,36.31561617122473
Stockholm,57.18881587050568,61.53664730287859,4.347831432372915,61.7631865017942,19.498484236062737,81.03513153894133,0.39700498976430976,3.469999999999999,43.14184099999999
